id,title,summary,domain,kind,collection,source,sourceUrl,reach,priority,status
wd-q1894494,№,numero sign (U+2116),Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q1894494,22,False,Discovery lead
wd-q7564809,℗,"sound recording copyright (U+2117), symbol used to provide notice of copyright on a sound recording (phonogram) embodied in a phonorecord (LPs, audiotapes, cassette tapes, compact discs, etc.)",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q7564809,10,False,Discovery lead
wd-q3594829,℞,"prescription take (U+211E); ligature of the letters R and x; medieval abbreviation for Latin ⟨recipe⟩ “take”, used in medical prescriptions",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q3594829,2,False,Discovery lead
wd-q7455766,℠,"service mark (U+2120), symbole",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q7455766,4,False,Discovery lead
wd-q87523876,℡,"telephone sign (U+2121); typical forms for this abbreviation symbol may use lowercase, small caps or superscripted Latin letter shapes",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87523876,2,False,Discovery lead
wd-q87523941,℺,"rotated capital Q (U+213A); old signature mark used by publishers in some margins for book binding, as collation index of printed folio; taken from the obsolete ISO 5426-2:1996 bibliographic encoding standard",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87523941,3,False,Discovery lead
wd-q87523956,⅁,turned sans-serif capital G (U+2141),Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87523956,2,False,Discovery lead
wd-q87523959,⅂,"turned sans-serif capital L (U+2142), symbol",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87523959,1,False,Discovery lead
wd-q87523961,⅃,"reversed sans-serif capital L (U+2143), symbole",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87523961,1,False,Discovery lead
wd-q87523963,⅄,"turned sans-serif capital Y (U+2144), symbole",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87523963,2,False,Discovery lead
wd-q87523981,⅊,"property line (U+214A), symbol, PL ligature",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87523981,1,False,Discovery lead
wd-q87523991,⅍,"aktieselskab (U+214D), Nordic symbol of a joint stock company (A/S)",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87523991,1,False,Discovery lead
wd-q8084058,⅏,"symbol for Samaritan source (U+214F), used for Biblical editorial notes",Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q8084058,2,False,Discovery lead
wd-q13127755,◊,form of rhombus,Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q13127755,9,False,Discovery lead
wd-q87526954,⚍,digram for lesser Yin (U+268D),Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87526954,1,False,Discovery lead
wd-q87526956,⚎,digram for lesser Yang (U+268E),Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87526956,1,False,Discovery lead
wd-q87526958,⚏,digram for greater Yin (U+268F),Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87526958,1,False,Discovery lead
wd-q87526999,⚣,Unicode character,Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87526999,12,False,Discovery lead
wd-q87527771,⟿,Unicode character,Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87527771,1,False,Discovery lead
wd-q87531832,〄,Japanese industrial standard symbol (U+3004),Culture & aesthetics,Symbol,Symbols,Wikidata,https://www.wikidata.org/wiki/Q87531832,1,False,Discovery lead
